Titre;Réalisateur;Adresse;Organisme Demandeur;Type de tournage;Arrondissement;Date debut;Date fin;xy
MADAME;AMANDA STHERS;16  RUE  DE LA FAISANDERIE;LGM FILMS;LONG METRAGE;75016;2016-07-25;2016-07-25;48.87016, 2.276762
EMBRASSE MOI;CYPRIEN VIAL;11  RUE  FERDINAND GAMBON;NOLITA CINEMA;LONG METRAGE;75020;2016-07-26;2016-07-27;48.85373, 2.407056
MADAME;AMANDA STHERS;16  RUE  DE LA FAISANDERIE;LGM FILMS;LONG METRAGE;75016;2016-07-26;2016-07-27;48.87016, 2.276762
LE REDOUTABLE;MICHEL HAZANAVICIUS;63  RUE  DES BATIGNOLLES;LES COMPAGNONS DU CINEMA;LONG METRAGE;75008;2016-07-28;2016-07-28;48.881262, 2.317319
L'AMANT D'UN JOUR;PHILIPPE GARREL;RUE  FESSART;SBS FILMS;LONG METRAGE;75019;2016-07-29;2016-07-29;48.876847, 2.385166
L'AMANT D'UN JOUR;PHILIPPE GARREL;17  RUE  DE LA VILLETTE;SBS FILMS;LONG METRAGE;75019;2016-07-29;2016-07-29;48.875613, 2.387337
LE REDOUTABLE;MICHEL HAZANAVICIUS;63  BOULEVARD  DES BATIGNOLLES;LES COMPAGNONS DU CINEMA;LONG METRAGE;75008;2016-08-01;2016-08-02;48.881262, 2.317319
LES CARNIVORES;JEREMIE RENIER;51  RUE  DES ECOLES;CHI FOU MI PRODUCTIONS;LONG METRAGE;75005;2016-08-01;2016-08-01;48.849983, 2.343211
LA VIE DE CHATEAU;CEDRIC IDO;3  RUE  DE L'ECHIQUIER;SRAB FILMS;LONG METRAGE;75010;2016-08-01;2016-08-01;48.870988, 2.352895
LA VIE DE CHATEAU;CEDRIC IDO;47  RUE  DU CHATEAU D'EAU;SRAB FILMS;LONG METRAGE;75010;2016-08-02;2016-08-02;48.871972, 2.356558
LA VIE DE CHATEAU;CEDRIC IDO;RUE  DU FAUBOURG SAINT DENIS/CHATEAU D'EAU;SRAB FILMS;LONG METRAGE;75010;2016-08-02;2016-08-02;48.875943, 2.355602
NOIR ENIGMA;MANUEL BOURSINHAC;RUE  SAINT JACQUES;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75005;2016-01-09;2016-01-09;48.844609, 2.342241
NOIR ENIGMA;MANUEL BOURSINHAC;PLACE  DE L'ESTRAPADE;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75005;2016-01-11;2016-01-12;48.845058, 2.345069
LE BUREAU DES LEGENDES/SAISON 2 N°1 A 8;ERIC ROCHANT;RUE  PILLET WILL;THE OLIGARCHS PRODUCTIONS;SERIE TELEVISEE;75009;2016-01-13;2016-01-13;48.873234, 2.336539
LE BUREAU DES LEGENDES/SAISON 2 N°1 A 8;ERIC ROCHANT;9  RUE  FROIDEVAUX;THE OLIGARCHS PRODUCTIONS;SERIE TELEVISEE;75014;2016-01-20;2016-01-20;48.834658, 2.330117
FALCO/29 ET 30;VINCENT JAMAIN;9  AVENUE  DE L'OBSERVATOIRE;BEAUBOUG AUDIOVISUEL;SERIE TELEVISEE;75006;2016-01-20;2016-01-20;48.843502, 2.337604
LES HOMMES DE L'OMBRE;FRED GARSON;16  BOULEVARD  HAUSSMANN;MACONDO;SERIE TELEVISEE;75009;2016-01-26;2016-01-26;48.872619, 2.336653
PROFILAGE/67 A 68/ SAISON 7;ALEXANDRE LAURENT;50  RUE  SAINT SABIN;BEAUBOUG AUDIOVISUEL;SERIE TELEVISEE;75011;2016-02-01;2016-02-01;48.858605, 2.369104
LES BEAUX MALAISES;ERIC LAVAINE;PARKING  DU STADE COURBERTIN;THALIE IMAGES;SERIE TELEVISEE;75016;2016-02-05;2016-02-05;48.862825, 2.272628
LES HOMMES DE L'OMBRE;FRED GARSON;41  RUE  DE CHAZELLES;MACONDO;SERIE TELEVISEE;75017;2016-02-09;2016-02-09;48.880924, 2.306182
VENERATION;MARJORY DEJARDIN;RUE  DE BERCY;CMP MOVIES;SERIE TELEVISEE;75012;2016-02-15;2016-02-15;48.841379, 2.377464
LES 7 NAINS ET MOI;DAMIEN MARIC;PLACE  JEAN PAUL II/PARIVS NOTRE DAME;METHOD FILMS;SERIE TELEVISEE;75004;2016-02-17;2016-02-17;48.853542, 2.347221
LES 7 NAINS ET MOI;DAMIEN MARIC;PLACE  DE L'OPERA;METHOD FILMS;SERIE TELEVISEE;75009;2016-02-17;2016-02-17;48.871045, 2.332572
LES SPORTS INSOLITES;CEDRIC LEPRETRE;GYMNASE  CHOISY MASSENA;BLISS;SERIE TELEVISEE;75013;2016-02-17;2016-02-17;48.825224, 2.360482
LES HOMMES DE L'OMBRE;FRED GARSON;PONT  DE GRENELLE;MACONDO;SERIE TELEVISEE;75015;2016-02-22;2016-02-22;48.851806, 2.285572
ALICE NEVERS, LE JUGE EST UNE FEMME/80 ET 81;JULIEN ZIDI;42/50  RUE  DES PETITES ECURIES;EGO PRODUCTION;SERIE TELEVISEE;75010;2016-02-23;2016-02-24;48.873982, 2.34916
COMME DES BLEUS;QUENTIN BLONDEL;GYMNASE  GAUGUIN;KAWANIMATION;SERIE TELEVISEE;75009;2016-03-03;2016-03-03;
ALICE IN PARIS;THIBAUD MARTIN;SQUARE  LOUIS XIII;ROCKZELINE;SERIE TELEVISEE;75004;2016-03-04;2016-03-04;48.852279, 2.351269
LEO MATTEI/N°13 ET 14;SEBASTIEN CIRADE;43  RUE  CUVIER;LGM CINEMA;SERIE TELEVISEE;75005;2016-03-14;2016-03-14;48.84491, 2.35725
CHEFS - SAISON 2;ARNAUD MALHERBE;BOULEVARD  DE CLICHY;CALT PRODUCTION;SERIE TELEVISEE;75009;2016-03-16;2016-03-16;48.883032, 2.334407
LEO MATTEI/N°13 ET 14;SEBASTIEN CIRADE;3  QUAI  LOUIS BLERIOT;LGM CINEMA;SERIE TELEVISEE;75016;2016-03-17;2016-03-17;48.850901, 2.278403
CHEFS - SAISON 2;ARNAUD MALHERBE;6  PLACE  GUSTAVE TOUDOUZE;CALT PRODUCTION;SERIE TELEVISEE;75009;2016-03-17;2016-03-17;48.879684, 2.337375
CHEFS - SAISON 2;ARNAUD MALHERBE;69  RUE  DES GRAVILLIERS;CALT PRODUCTION;SERIE TELEVISEE;75003;2016-03-18;2016-03-18;48.864506, 2.354232
CHEFS - SAISON 2;ARNAUD MALHERBE;3  RUE  DE CASTIGLIONE;CALT PRODUCTION;SERIE TELEVISEE;75001;2016-03-23;2016-03-25;48.865715, 2.327482
ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83;ERIC LE ROUX;4  BOULEVARD  DU PALAIS;EGO PRODUCTION;SERIE TELEVISEE;75001;2016-03-24;2016-03-24;48.855732, 2.345992
STAY WITH ME;XIANCHENG DENG;PLACE  SAINT PIERRE;PARIS 818 MEDIA;SERIE TELEVISEE;75018;2016-03-29;2016-03-29;48.884326, 2.343816
STAY WITH ME;XIANCHENG DENG;SQUARE  LOUISE MICHEL;PARIS 818 MEDIA;SERIE TELEVISEE;75018;2016-03-29;2016-03-29;
STAY WITH ME;XIANCHENG DENG;SQUARE  JEHAN RICTUS;PARIS 818 MEDIA;SERIE TELEVISEE;75018;2016-03-29;2016-03-29;48.8925, 2.349552
STAY WITH ME;XIANCHENG DENG;23  AVENUE  GEORGE V;PARIS 818 MEDIA;SERIE TELEVISEE;75008;2016-03-30;2016-03-30;48.867515, 2.300938
STAY WITH ME;XIANCHENG DENG;PONT  DES ARTS;PARIS 818 MEDIA;SERIE TELEVISEE;75001;2016-03-31;2016-03-31;48.863109, 2.33838
JOSEPHINE ANGE GARDIEN/N° 80;STEPHAN KOPECKY;16/18  RUE  VULPIAN;DEMD PRODUCTIONS;SERIE TELEVISEE;75013;2016-04-01;2016-04-02;48.831597, 2.346303
IN AMERICA;VINCENT PRIMAULT;2  RUE  DE CHOISEUL (BUREAU MAKING PROD;MAKING PROD;SERIE TELEVISEE;75002;2016-04-02;2016-04-02;48.869008, 2.336009
LES HOMMES DE L'OMBRE;FRED GARSON;SQUARE  DE LA PLACE DAUPHINE;MACONDO;SERIE TELEVISEE;75001;2016-04-04;2016-04-04;48.856822, 2.342303
LES HOMMES DE L'OMBRE;FRED GARSON;PLACE  DU PONT NEUF;MACONDO;SERIE TELEVISEE;75001;2016-04-04;2016-04-04;48.857039, 2.341573
MA PIRE ANGOISSE;VLADIMIR RODIONOFF;110  BOULEVARD  DE LA VILLETTE;LES IMPRODUCTIBLES;SERIE TELEVISEE;75019;2016-04-04;2016-04-04;48.877183, 2.371578
IN AMERICA;VINCENT PRIMAULT;AVENUE  CAMOENS ET ESCALIERS DELESSERT;MAKING PROD;SERIE TELEVISEE;75016;2016-04-04;2016-04-04;48.859707, 2.286387
LES HOMMES DE L'OMBRE;FRED GARSON;BOULEVARD  DE STRASBOURG;MACONDO;SERIE TELEVISEE;75010;2016-04-05;2016-04-05;48.872684, 2.355912
LES HOMMES DE L'OMBRE;FRED GARSON;PARVIS  DE L'EGLISE SAINT VINCENT DE PAUL;MACONDO;SERIE TELEVISEE;75010;2016-04-05;2016-04-05;48.88078, 2.352358
MA PIRE ANGOISSE;VLADIMIR RODIONOFF;17  RUE  DE MONTYON;LES IMPRODUCTIBLES;SERIE TELEVISEE;75009;2016-04-06;2016-04-06;48.873056, 2.343466
IN AMERICA;VINCENT PRIMAULT;RUE  ALEXANDRE DUMAS;MAKING PROD;SERIE TELEVISEE;75011;2016-04-07;2016-04-07;48.853572, 2.392571
LES HOMMES DE L'OMBRE;FRED GARSON;110  RUE  DE GRENELLE;MACONDO;SERIE TELEVISEE;75007;2016-04-08;2016-04-08;48.856634, 2.320797
LES HOMMES DE L'OMBRE;FRED GARSON;AVENUE  GABRIEL;MACONDO;SERIE TELEVISEE;75008;2016-04-08;2016-04-08;48.868391, 2.316734
LES HOMMES DE L'OMBRE;FRED GARSON;SQUARE  JEAN PERRIN;MACONDO;SERIE TELEVISEE;75008;2016-04-08;2016-04-08;48.866924, 2.311684
LES HOMMES DE L'OMBRE;FRED GARSON;JARDIN*  DE LA NOUVELLE FRANCE;MACONDO;SERIE TELEVISEE;75008;2016-04-08;2016-04-08;48.870546, 2.324954
IN AMERICA;VINCENT PRIMAULT;13  RUE  DU TEMPLE (BRASSERIE);MAKING PROD;SERIE TELEVISEE;75004;2016-04-11;2016-04-11;48.858223, 2.353063
LES HOMMES DE L'OMBRE;FRED GARSON;PLACE  DE LA BATAILLE DE STALINGRAD;MACONDO;SERIE TELEVISEE;75019;2016-04-12;2016-04-12;48.883612, 2.369581
LES HOMMES DE L'OMBRE;FRED GARSON;6  BOULEVARD  JEAN JAURES;MACONDO;SERIE TELEVISEE;75019;2016-04-12;2016-04-12;48.882643, 2.370477
HEROÏNE(S);AUDREY ESTROUGO;43/45  RUE  PETIT;ELZEVIR FILMS;SERIE TELEVISEE;75019;2016-04-12;2016-04-12;48.885336, 2.384879
HEROÏNE(S);AUDREY ESTROUGO;159  AVENUE  JEAN JAURES;ELZEVIR FILMS;SERIE TELEVISEE;75019;2016-04-12;2016-04-12;48.887216, 2.386497
PROFILAGE - SAISON 7/N° 70 ET 71;VINCENT JAMAIN;70  RUE  DE MEAUX;BEAUBOUG AUDIOVISUEL;SERIE TELEVISEE;75019;2016-04-14;2016-04-14;48.88322, 2.37655
RANCHO ROSA;DAVID LYNCH;47  RUE  DU MONTPARNASSE/CREPERIE PLOUGASTEL;ANGELE FINE PRODUCTIONS;SERIE TELEVISEE;75014;2016-04-19;2016-04-19;48.842389, 2.325955
CHEFS - SAISON 2;ARNAUD MALHERBE;QUAI  SAINT BERNARD;CALT PRODUCTION;SERIE TELEVISEE;75005;2016-04-25;2016-04-25;48.847779, 2.359533
CHEFS - SAISON 2;ARNAUD MALHERBE;PONT  SAINT LOUIS;CALT PRODUCTION;SERIE TELEVISEE;75004;2016-04-25;2016-04-25;48.851849, 2.356353
CHEFS - SAISON 2;ARNAUD MALHERBE;RUE  DE BALZAC;CALT PRODUCTION;SERIE TELEVISEE;75008;2016-04-26;2016-04-26;48.873951, 2.300816
CHEFS - SAISON 2;ARNAUD MALHERBE;RUE  DE TILSITT;CALT PRODUCTION;SERIE TELEVISEE;75008;2016-04-26;2016-04-26;48.874294, 2.297065
CHEFS - SAISON 2;ARNAUD MALHERBE;PLACE  DU REVEREND DU PERE CARRE;CALT PRODUCTION;SERIE TELEVISEE;75008;2016-04-26;2016-04-26;
UN CAFE AVEC...;SAMBA MBALLO;RUE  DU COLONEL GILLON;6 COM;SERIE TELEVISEE;75018;2016-05-02;2016-05-02;48.900466, 2.339897
UN CAFE AVEC...;SAMBA MBALLO;RUE  LOUIS ROLLAND;6 COM;SERIE TELEVISEE;75018;2016-05-02;2016-05-02;48.89449, 2.329339
MUNCH;GABRIEL LAFERRIERE;RUE  DU PERE CORENTIN;EXILENE FILMS;SERIE TELEVISEE;75014;2016-05-13;2016-05-13;48.824888, 2.329005
JOSEPHINE ANGE GARDIEN/EPISODE 81;DENIS THYBAUD;20  RUE  DE CHARONNE;DEMD PRODUCTIONS;SERIE TELEVISEE;75011;2016-05-16;2016-05-16;48.852981, 2.3748
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;38  RUE  DE CRIMEE;SON ET LUMIERE;SERIE TELEVISEE;75019;2016-05-23;2016-05-23;48.879353, 2.390022
JOSEPHINE ANGE GARDIEN/EPISODE 81;DENIS THYBAUD;2  PLACE  DES PYRAMIDES;DEMD PRODUCTIONS;SERIE TELEVISEE;75001;2016-06-01;2016-06-01;48.863961, 2.332599
CHEFS - SAISON 2;ARNAUD MALHERBE;18/20  RUE  COQUILLERE;CALT PRODUCTION;SERIE TELEVISEE;75001;2016-06-04;2016-06-04;48.86388, 2.342604
CHEFS - SAISON 2;ARNAUD MALHERBE;PONT  NEUF;CALT PRODUCTION;SERIE TELEVISEE;75001;2016-06-04;2016-06-04;48.860317, 2.344139
CHEFS - SAISON 2;ARNAUD MALHERBE;PLACE  DES VICTOIRES;CALT PRODUCTION;SERIE TELEVISEE;75002;2016-06-04;2016-06-04;48.8661, 2.341058
LA VIE DEVANT ELLES/SAISON 2;GABRIEL AGHION;2  RUE  DE L'YVETTE;CINETEVE;SERIE TELEVISEE;75016;2016-06-10;2016-06-10;48.852673, 2.267806
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;2  RUE  DES FRANCS BOURGEOIS;SON ET LUMIERE;SERIE TELEVISEE;75004;2016-06-15;2016-06-15;48.857551, 2.360897
LA VIE DEVANT ELLES/SAISON 2;GABRIEL AGHION;63  BOULEVARD  DES BATIGNOLLES;CINETEVE;SERIE TELEVISEE;75017;2016-06-21;2016-06-24;48.882435, 2.32123
JOSEPHINE ANGE GARDIEN/EPISODE 82;PHILIPPE PROTEAU;PARC  MONTSOURIS;DEMD PRODUCTIONS;SERIE TELEVISEE;75014;2016-06-28;2016-06-28;48.822372, 2.334367
CHEFS - SAISON 2;ARNAUD MALHERBE;82  RUE  DE L'HOTEL DE VILLE;CALT PRODUCTION;SERIE TELEVISEE;75004;2016-07-02;2016-07-02;48.854952, 2.354511
L'ART DU CRIME;CHARLOTTE BRANDSTROM;143  RUE  SAINT HONORE/TABAC BRASSERIE L'ORATOIRE;GAUMONT TELEVISION;SERIE TELEVISEE;75001;2016-07-12;2016-07-12;48.861797, 2.340608
L'ART DU CRIME;CHARLOTTE BRANDSTROM;2  PLACE  DES ABBESSES;GAUMONT TELEVISION;SERIE TELEVISEE;75018;2016-07-15;2016-07-15;48.884608, 2.338302
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;67/69  RUE  JEAN BAPTISTE PIGALLE/SAF DE PARIS;SON ET LUMIERE;SERIE TELEVISEE;75009;2016-07-21;2016-07-21;48.881507, 2.336479
JOSEPHINE ANGE GARDIEN/EPISODE 82;PHILIPPE PROTEAU;RUE  SAINT JACQUES;DEMD PRODUCTIONS;SERIE TELEVISEE;75005;2016-07-21;2016-07-21;48.844609, 2.342241
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;4  BOULEVARD  DU PALAIS/PALAIS DE JUSTICE;SON ET LUMIERE;SERIE TELEVISEE;75001;2016-07-25;2016-07-29;48.855732, 2.345992
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;11  PLACE  DAUPHINE/PALAIS DE JUSTICE;SON ET LUMIERE;SERIE TELEVISEE;75001;2016-07-25;2016-07-29;48.856212, 2.342446
BLACKPILLS/VIRGIN;NATH DUMONT;2  PLACE  GUSTAVE TOUDOUZE;TOGETHER MEDIA 2;SERIE TELEVISEE;75009;2016-08-03;2016-08-03;48.879432, 2.33749
RED OAKS;HALL HARTLEY;25  RUE  BEAUTREILLIS;FIRSTEP;SERIE TELEVISEE;75004;2016-08-05;2016-08-05;48.853687, 2.364364
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;1  PLACE  DU PARVIS DE NOTRE DAME;SON ET LUMIERE;SERIE TELEVISEE;75004;2016-08-08;2016-08-09;48.854342, 2.347729
INSIDE/OUT;MICHEL REILHAC;PONT  DES ARTS;SMALL BANG;SERIE TELEVISEE;75006;2016-08-11;2016-08-11;48.853452, 2.340567
BLACKPILLS/VIRGIN;NATH DUMONT;PARC  MONTSOURIS;TOGETHER MEDIA 2;SERIE TELEVISEE;75014;2016-08-19;2016-08-19;48.822372, 2.334367
CLEM/SAISON 7;CHRISTOPHE CAMPOS;21  RUE  GRENETA;MERLIN PRODUCTIONS;SERIE TELEVISEE;75002;2016-08-22;2016-08-22;48.865101, 2.350845
BLACKPILLS/VIRGIN;NATH DUMONT;PARVIS  DU SACRE COEUR;TOGETHER MEDIA 2;SERIE TELEVISEE;75018;2016-08-22;2016-08-22;48.886199, 2.342895
LES OPTIMISTES;ALEXEÏ POPOGREBSKY;36  BOULEVARD  BONNE NOUVELLE/THEATRE DU GYMNASE;SERVICE PARIS PRODUCTION;SERIE TELEVISEE;75002;2016-08-23;2016-08-23;48.870008, 2.350304
10%/SAISON 2;JEANNE HERRY;RUE  MARENGO;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75001;2016-09-05;2016-09-05;48.861861, 2.339391
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;47 ET 48  RUE  GUY MOQUET;SON ET LUMIERE;SERIE TELEVISEE;75017;2016-09-05;2016-09-05;48.892298, 2.324609
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;28  RUE  DE DOUAI;SON ET LUMIERE;SERIE TELEVISEE;75009;2016-09-05;2016-09-05;48.88253, 2.332927
10%/SAISON 2;JEANNE HERRY;AVENUE  TRUDAINE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;2016-09-06;2016-09-06;48.881143, 2.343211
WTF FRANCE;FELIX GUIMARD;TEP  MOURLON;STUDIO BAGEL PRODUCTIONS;SERIE TELEVISEE;75015;2016-09-07;2016-09-07;
CLEM/SAISON 7;CHRISTOPHE CAMPOS;2BIS  CITE  POPINCOURT;MERLIN PRODUCTIONS;SERIE TELEVISEE;75011;2016-09-09;2016-09-09;48.862174, 2.374468
10%/SAISON 2;JEANNE HERRY;2/24  RUE  SAINT HONORE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75008;2016-09-12;2016-09-12;48.868172, 2.324131
10%/SAISON 2;JEANNE HERRY;127  RUE  DU FAUBOURG SAINT HONORE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75008;2016-09-13;2016-09-13;48.873274, 2.309406
LA MANTE;ALEXANDRE LAURENT;3  RUE  CAULAINCOURT (HOTEL MERCURE);SEPTEMBRE PRODUCTIONS;SERIE TELEVISEE;75018;2016-09-13;2016-09-13;48.884999, 2.329905
10%/SAISON 2;JEANNE HERRY;4 ET 25  RUE  DE L'ERMITAGE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;2016-09-14;2016-09-14;48.870162, 2.391437
10%/SAISON 2;JEANNE HERRY;69/91  RUE  DE BELLEVILLE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75019;2016-09-14;2016-09-14;48.873777, 2.384688
10%/SAISON 2;JEANNE HERRY;RUE  GREUZE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;2016-09-15;2016-09-15;48.864048, 2.283344
10%/SAISON 2;JEANNE HERRY;AVENUE  D'EYLAU;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;2016-09-15;2016-09-15;48.864545, 2.284779
10%/SAISON 2;JEANNE HERRY;PONT  DE LA RUE CRIMEE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75019;2016-09-16;2016-09-16;48.885821, 2.382394
BLACKPILLS/RAISING HITLER;LOUIS FARGE;AVENUE  DE CAMOËNS;TOGETHER MEDIA 2;SERIE TELEVISEE;75016;2016-09-22;2016-09-22;48.859707, 2.286387
BLACKPILLS/RAISING HITLER;LOUIS FARGE;PLACE  DE L'ECOLE MILITAIRE;TOGETHER MEDIA 2;SERIE TELEVISEE;75017;2016-09-22;2016-09-22;
BLACKPILLS/RAISING HITLER;LOUIS FARGE;AVENUE  EMILE ACOLLAS;TOGETHER MEDIA 2;SERIE TELEVISEE;75017;2016-09-22;2016-09-22;48.882995, 2.28863
EMMA;ALFRED LOT;9  RUE  RAFFAELLI;MANDARIN CINEMA;SERIE TELEVISEE;75016;2016-02-12;2016-02-12;48.843367, 2.255578
VENERATION;MARJORY DEJARDIN;RUE  DE BARON LEROY;CMP MOVIES;SERIE TELEVISEE;75012;2016-02-15;2016-02-15;48.834653, 2.388268
PROFILAGE/67 A 68/ SAISON 7;ALEXANDRE LAURENT;SQUARE  D'ALBONI;BEAUBOUG AUDIOVISUEL;SERIE TELEVISEE;75016;2016-02-16;2016-02-16;48.857775, 2.286463
LES 7 NAINS ET MOI;DAMIEN MARIC;ESCALIER  RUE BEETHOVEN;METHOD FILMS;SERIE TELEVISEE;75016;2016-02-16;2016-02-16;48.85841, 2.287231
EMMA;ALFRED LOT;RUE  DU GENRAL BERTRAND;MANDARIN CINEMA;SERIE TELEVISEE;75007;2016-02-19;2016-02-19;48.847336, 2.313409
EMMA;ALFRED LOT;61  AVENUE  DE SAXE;MANDARIN CINEMA;SERIE TELEVISEE;75016;2016-02-19;2016-02-19;48.871196, 2.295201
LES HOMMES DE L'OMBRE;FRED GARSON;2  RUE  VIVIENNE;MACONDO;SERIE TELEVISEE;75002;2016-02-22;2016-02-22;48.866495, 2.33884
EMMA;ALFRED LOT;ESPLANADE  ENTRE RUE DE MEAUX ET AV JEAN JAURES;MANDARIN CINEMA;SERIE TELEVISEE;75019;2016-02-26;2016-02-26;
ALICE NEVERS, LE JUGE EST UNE FEMME/80 ET 81;JULIEN ZIDI;4  BOULEVARD  DU PALAIS/PALAIS DE JUSTICE;EGO PRODUCTION;SERIE TELEVISEE;75001;2016-03-01;2016-03-01;48.855732, 2.345992
ALICE IN PARIS;THIBAUD MARTIN;ARENES  DE LUTECE;ROCKZELINE;SERIE TELEVISEE;75005;2016-03-05;2016-03-05;48.84509, 2.354004
LEO MATTEI/N°13 ET 14;SEBASTIEN CIRADE;PARC  DU CHAMP DE MARS;LGM CINEMA;SERIE TELEVISEE;75007;2016-03-09;2016-03-10;48.854395, 2.304772
PROFILAGE/N°69;CHRIS BRIANT;7  RUE  DES CHANTIERS;BEAUBOUG AUDIOVISUEL;SERIE TELEVISEE;75005;2016-03-11;2016-03-11;48.849008, 2.354503
LES HOMMES DE L'OMBRE;FRED GARSON;RUE  EDOUARD QUENU;MACONDO;SERIE TELEVISEE;75005;2016-03-21;2016-03-21;48.839259, 2.34948
CHEFS - SAISON 2;ARNAUD MALHERBE;3  RUE  DE CASTIGLIONE;CALT PRODUCTION;SERIE TELEVISEE;75001;2016-03-21;2016-03-21;48.865715, 2.327482
CHEFS - SAISON 2;ARNAUD MALHERBE;RUE  DE CASTIGLIONE;CALT PRODUCTION;SERIE TELEVISEE;75001;2016-03-28;2016-03-28;48.865778, 2.327951
LES HOMMES DE L'OMBRE;FRED GARSON;32  RUE  DE MONCEAU;MACONDO;SERIE TELEVISEE;75008;2016-03-29;2016-03-29;48.877059, 2.309451
CHEFS - SAISON 2;ARNAUD MALHERBE;3  RUE  DE CASTIGLIONE;CALT PRODUCTION;SERIE TELEVISEE;75001;2016-03-29;2016-03-29;48.865715, 2.327482
MA PIRE ANGOISSE;VLADIMIR RODIONOFF;RUE  D'ALSACE;LES IMPRODUCTIBLES;SERIE TELEVISEE;75010;2016-03-29;2016-03-29;48.878292, 2.358371
MA PIRE ANGOISSE;VLADIMIR RODIONOFF;RUE  LA BRUYERE;LES IMPRODUCTIBLES;SERIE TELEVISEE;75009;2016-03-29;2016-03-30;48.879441, 2.334378
STAY WITH ME;XIANCHENG DENG;RUE  FOYATIER;PARIS 818 MEDIA;SERIE TELEVISEE;75018;2016-03-29;2016-03-29;48.885347, 2.34234
STAY WITH ME;XIANCHENG DENG;PARVIS  DU SACRE COEUR;PARIS 818 MEDIA;SERIE TELEVISEE;75018;2016-03-29;2016-03-29;48.886199, 2.342895
ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83;ERIC LE ROUX;7  RUE  DE L'ECHELLE;EGO PRODUCTION;SERIE TELEVISEE;75001;2016-03-31;2016-03-31;48.864024, 2.334199
ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83;ERIC LE ROUX;254/256  RUE  SAINT HONORE;EGO PRODUCTION;SERIE TELEVISEE;75001;2016-04-01;2016-04-01;48.864119, 2.333768
STAY WITH ME;XIANCHENG DENG;PONT  AU DOUBLE;PARIS 818 MEDIA;SERIE TELEVISEE;75005;2016-04-01;2016-04-01;48.84098, 2.35253
STAY WITH ME;XIANCHENG DENG;10  AVENUE  D'IENA;PARIS 818 MEDIA;SERIE TELEVISEE;75016;2016-04-02;2016-04-02;48.863773, 2.293222
IN AMERICA;VINCENT PRIMAULT;8  RUE  MONSIGNY;MAKING PROD;SERIE TELEVISEE;75002;2016-04-02;2016-04-02;48.868666, 2.335474
LES HOMMES DE L'OMBRE;FRED GARSON;RUE  DE HARLAY;MACONDO;SERIE TELEVISEE;75001;2016-04-04;2016-04-04;48.856701, 2.343164
LES HOMMES DE L'OMBRE;FRED GARSON;PONT  NEUF;MACONDO;SERIE TELEVISEE;75001;2016-04-04;2016-04-04;48.860317, 2.344139
ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83;ERIC LE ROUX;184/192  RUE  DE RIVOLI;EGO PRODUCTION;SERIE TELEVISEE;75001;2016-04-04;2016-04-04;48.863714, 2.332362
STAY WITH ME;XIANCHENG DENG;IMPASSE  MAUBERT;PARIS 818 MEDIA;SERIE TELEVISEE;75005;2016-04-04;2016-04-04;48.851098, 2.34962
LES HOMMES DE L'OMBRE;FRED GARSON;RUE  DU 8 MAI 1945;MACONDO;SERIE TELEVISEE;75010;2016-04-05;2016-04-05;48.876163, 2.357469
LES HOMMES DE L'OMBRE;FRED GARSON;RUE  FENELON;MACONDO;SERIE TELEVISEE;75010;2016-04-05;2016-04-05;48.87872, 2.351316
LES HOMMES DE L'OMBRE;FRED GARSON;RUE  DU PROFESSEUR FLORIAN DELBARRE;MACONDO;SERIE TELEVISEE;75015;2016-04-06;2016-04-06;48.839828, 2.271894
IN AMERICA;VINCENT PRIMAULT;18  RUE  DE L'HOTEL DE VILLE;MAKING PROD;SERIE TELEVISEE;75004;2016-04-06;2016-04-06;48.853917, 2.357191
MA PIRE ANGOISSE;VLADIMIR RODIONOFF;PLACE  LARUE;LES IMPRODUCTIBLES;SERIE TELEVISEE;75005;2016-04-07;2016-04-07;48.847329, 2.347565
